No Experimento,n,Funciono,tiempos
1,2,Si,11896300
2,3,No,8289800
3,4,Si,17838000
4,5,No,9351600
5,6,Si,24403900
6,7,No,14124800
7,8,Si,34703300
8,9,No,13538600
9,10,Si,44093400
